SY,GE,VEND,ITEM,VOL_EQ,FLAVOR/SCENT,FORM,PACKAGE,PRODUCT TYPE,SA BRAND,SA MARKET,SA PRIMARY MARKET,SPECIALITY NAME,STORE LOCATION,ADDITIVES,REFILL TYPE,SIZE,TYPE OF FORMULA,USER INFO,BRUSH HEAD SHAPE,COLOR,NUMBER OF TREATMENTS,TREATMENT,TYPE OF DENTAL ACCS,TYPE OF TOOTHPASTE,USAGE
8,1,70929,402,0.4063,VANILLA MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
8,1,70929,900,0.2875,BUBBLE GUM,GEL,PLASTIC BOTTLE,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,KIDS,MISSING,RED,MISSING,MISSING,MISSING,MISSING,MISSING
8,1,70929,902,0.2625,BUBBLE GUM,GEL,STANDING TUBE,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,22325,1.125,ASSORTED,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,TRIPLE PACK,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,RED WHITE & GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,20240,0.3,BUBBLE BERRY,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY,KIDS,MISSING,BLU,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,20230,0.2625,BUBBLE BERRY,PASTE,TUBE,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHITENING ANTI CAVTY,KIDS,MISSING,BLU,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,11113,2280,1.125,CLEAN MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,TRIPLE PACK,WHITENING ANTI CAVTY,ADULT & CHILD OVER 2,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,22465,1.125,CINNAMINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHTNN TRT CTR AN CVT,ADULT & CHILD OVER 2,MISSING,RED,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,20630,0.375,COOL MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY TRTR CTL,ADULT & CHILD OVER 2,MISSING,BLU,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,33200,25381,0.375,COOL MINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,ANTI CAVITY TRTR CTL,ADULT & CHILD OVER 2,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
