"","PANID","WEEK","brand_10158","brand_33200","brand_35000","brand_37000","brand_53100","brand_77326","Combined.Pre.Tax.Income.of.HH","MALE_SMOKE","FEM_SMOKE","LOYALTY.10158","LOYALTY.33200","LOYALTY.35000","LOYALTY.37000","LOYALTY.53100","LOYALTY.77326","LOYALTY.0","AVGRATE.0","DISPLAY.0","PRICEREDUCTION.0","FEATURE.0","AVGRATE.10158","DISPLAY.10158","PRICEREDUCTION.10158","FEATURE.10158","AVGRATE.33200","DISPLAY.33200","PRICEREDUCTION.33200","FEATURE.33200","AVGRATE.35000","DISPLAY.35000","PRICEREDUCTION.35000","FEATURE.35000","AVGRATE.37000","DISPLAY.37000","PRICEREDUCTION.37000","FEATURE.37000","AVGRATE.53100","DISPLAY.53100","PRICEREDUCTION.53100","FEATURE.53100","AVGRATE.77326","DISPLAY.77326","PRICEREDUCTION.77326","FEATURE.77326","choice","choiceLabel"
"27","1100354","1429",0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,17.0735675671621,0,0,0,20.690303030303,0,1,2,5.29686284937985,1,1,2,6.7060582255433,2,1,3,8.46398008884509,2,1,3,8.37476310083876,0,1,0,14.0940170940171,0,0,0,2,"33200"
"28","1100404","1427",0,0,1,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0.25,16.9973770909717,2,1,2,22.7422222222222,0,0,0,4.70425190183686,0,0,0,7.67509359208353,1,1,4,8.03533694637142,2,1,3,7.58835100477628,1,1,0,13.9832926119837,1,0,0,3,"35000"
"29","1100404","1434",0,0,0,1,0,0,0,0,0,0,0,0.25,0.5,0,0,0.25,17.4517816524356,0,0,0,22.2285714285714,1,0,0,7.9208339403448,2,0,0,7.33146941246221,2,1,3,8.11689650650587,2,1,3,4.29957744229838,2,1,3,14.8977196044212,1,1,0,4,"37000"
"30","1100404","1447",0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0.25,18.4091139843322,0,1,4,19.9511111111111,0,1,2,9.42731343843612,0,1,0,7.61656965864275,2,1,3,6.14346360747189,2,1,3,5.40251461769866,0,1,3,5.91304347826087,0,1,0,0,"0"
"31","1100404","1473",0,0,0,1,0,0,0,0,0,0,0,0.25,0.5,0,0,0.25,19.5835664677318,0,1,0,22.2044444444444,0,0,0,5.78375941170738,2,1,0,7.07809078892924,0,1,2,8.25014652822591,2,1,4,6.18796536796537,0,1,0,5.97333333333333,1,1,3,4,"37000"
"32","1100479","1428",0,0,1,0,0,0,7,0,0,0,0,0.3,0,0.6,0,0.1,16.9973770909717,0,0,0,17.5026666666667,2,1,3,3.14458333333333,1,1,3,7.34423977862647,2,1,3,9.35473165168464,2,1,3,9.33969532011314,1,1,3,19.96,0,0,0,3,"35000"
"33","1100479","1448",0,0,0,0,1,0,7,0,0,0,0,0.3,0,0.6,0,0.1,18.9854489442861,0,1,0,22.49,0,1,0,5.6887082303971,2,1,2,6.82016671026242,2,1,3,8.57307783627168,2,1,4,5.96568456078083,1,1,0,11.1806566131173,0,1,0,5,"53100"
"34","1100479","1449",0,0,0,0,0,0,7,0,0,0,0,0.3,0,0.6,0,0.1,19.1758296257311,0,1,0,21.76,0,0,0,2.88355555555556,0,0,2,7.9312020763399,2,1,3,8.81468909044704,2,1,4,4.9814641759207,1,1,0,11.2228397859065,0,1,0,0,"0"
"35","1100479","1454",0,0,0,0,1,0,7,0,0,0,0,0.3,0,0.6,0,0.1,17.5013357805714,0,0,0,22.36,0,0,0,2.88481726000034,1,1,0,6.9846406131849,2,1,2,8.4456896542869,2,1,3,8.26807758180902,1,1,3,13.8153846153846,0,0,0,5,"53100"
"36","1100479","1464",0,0,0,0,1,0,7,0,0,0,0,0.3,0,0.6,0,0.1,18.9992222464414,0,1,0,20.5314285714286,0,1,3,10.4171856414204,2,1,3,7.11245722796557,2,1,3,7.35020990817491,2,1,3,4.86797078674948,1,1,0,11.9733333333333,2,0,0,5,"53100"
